,zip,price,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office,Professional space surface,Basement,Furnished,TV cable,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Terrace surface,Elevator,Accessible for disabled people,Intercom,Visio phone,Swimming pool,Primary energy consumption,Energy class,,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,Neighbourhood or locality,Office surface,Covered parking spaces,Outdoor parking spaces,Garden surface,Living room,Dressing room,Garden orientation,Caretaker,Secure access / alarm,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Attic,Basement surface,Terrace,External reference,Attic surface,How many fireplaces?,As built plan,Bedroom 5 surface,Thermic solar panels,Garden,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Common water heater,Type of building,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,E-level (overall energy performance),Property name,Number of floors,Monthly charges,Floor,Percentage rented,Current monthly revenue
30,2560,"€229,000",,,1969,To renovate,,3,,,179,27,Yes,,13,3,,,,,1,,,,,,No,No,452,,Not connected,Yes,,,,,,,969,F,2609917-RES-1,Not specified,Not specified,969,,No,,No,No,Non flood zone,"Living area (residential, urban or rural)",,No,,Fraikinstraat 7,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,
31,2530,"€240,000",,,,,,,"Living area (residential, urban or rural)",,,,,Hyper equipped,,1,,,,,,,,,,,No,,,,,,,,,,,,84,A,Not specified,Not specified,Not specified,No,,,,No,Non flood zone,,"Living area (residential, urban or rural)",,No,,Michel De Braeystraat 55,Triple Living,,Park II,,,,,,,,,,,,No,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Midden,2,,,,
32,7090,"€695,000",,,,,,2,,,1955,,,Installed,,,,,,,,,,,,,No,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,No,,,,,,,,,No,Grand Place 8,,,,,,,Yes,,,,,,No,,,,,,5459-1-1-1-1,,,No,,No,,,,,,,,,,,,,No,,,,,,,,,,,,,1,,,,
33,2640,"€449,000",To be defined,,,Good,,,,,,48,,Semi equipped,14,4,16,15,20,20,,,2,,,Yes,No,,292,,Connected,Yes,,,,,,,632,F,Not specified,Not specified,Not specified,No,No,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,"Orteliuskaai, 8",,,,,1,,174,,No,South West,,,,No,,,Yes,,Yes,,,,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6887,"€197,000",,,1918,To renovate,,,"Living area (residential, urban or rural)",,232,,,,,4,,,,,2,,,No,,Yes,,Yes,344,,Connected,Yes,,No,,,,,581,G,20210219008089,119 kg CO₂/m²,171770 kWh/year,,,,,,,,,,No,,Rue du Mail 77,613/2803,,Herbeumont,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4280,"€137,500",After signing the deed,,,To be done up,,2,Urban,,95,24,,Semi equipped,18,2,12,15,11,,1,,1,,,,No,Yes,,,,,,,,Yes,Yes,,214,C,20130323008941,39 kg CO₂/m²,23379 kWh/year,Gas,Non flood zone,,,,,,,,,No,"rue de Tirlemont, 7",,Gaëtane Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,
36,1652,"€795,000",After signing the deed,January 1 2000 - 12:00 AM,1974,Good,12 m,4,,,215,,Yes,Hyper equipped,,4,18,14,12,9,2,,2,,,Yes,No,,951,,Connected,No,,No,No,,,Yes,339,D,20210617-0002430518-RES-1,Not specified,Not specified,Gas,Possible flood zone,,,,,,,,,No,Avenue Baron Albert d'Huart 130,,4784534,,,2,2,700,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2140,"€299,000",,,1955,Good,,2,,,72,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,614,F,20191021-0002209670-RES-1,Not specified,Not specified,614,No,No,,No,No,Non flood zone,,,No,,Ruggeveldbaan 751,,,,,,,,,,,,,Gas,No,,,,,,,,,,,No,,,,No,,,,,,,,,No,Yes,,,,,,,,,,"Yes, conform",,2,,,,
38,9600,"€370,000",After signing the deed,,2013,Good,,3,,,175,,,Installed,12,3,18,15,14,,1,,2,,,,No,,359,,,,,,,,,,106,B,45041-G-2011_70/EP00324/A017/D01/SD001,Not specified,Not specified,No,Yes,Non flood zone,,,,,,,,No,Grote Markt 35,,18653 - VK 4049,,,1,4,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,,,,,,
39,4000,"€800,000",After signing the deed,August 15 2021 - 12:00 AM,1930,To renovate,,4,Isolated,,650,50,Yes,Not installed,12,10,15,14,14,14,3,1,4,Yes,,Yes,No,,5200,,,,,,,,,,378,E,20210420017216,94 kg CO₂/m²,280426 kWh/year,Fuel oil,,,,,,,,,,No,Rue Bonne Fortune 9,,4784569,Liège,15,,10,4250,,,,,,,,,,Yes,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8580,"€835,000",,,1957,Just renovated,,4,,,350,60,Yes,Installed,16,5,50,20,20,14,4,,4,,,Yes,No,,1996,,,,,,,,,,229,C,Not specified,Not specified,Not specified,No,Yes,,,,,,,,,No,"Roterijstraat, 202",,18623 - 3841,,,,20,,,,,,,Gas,,,,,,,,,1,"Yes, conform",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8581,"€835,000",,,1957,Just renovated,,4,,,350,60,Yes,Installed,16,5,50,20,20,14,4,,4,,,Yes,No,,1996,,,,,,,,,,229,C,Not specified,Not specified,Not specified,No,Yes,,,,,,,,,No,"Roterijstraat, 202",,18646 - 3843,,,,20,,,,,,,Gas,,,,,,Yes,,,1,"Yes, conform",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8581,"€835,000",,,1957,Just renovated,,4,,,350,60,Yes,Installed,16,5,50,20,20,14,4,,4,,,Yes,No,,1996,,,,,,,,,,229,C,Not specified,Not specified,Not specified,No,Yes,,,,,,,,,No,"Roterijstraat, 202",,18629 - 3843,,,,20,,,,,,,Gas,,,,,,Yes,,,1,"Yes, conform",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1300,"€1,190,000",After signing the deed,May 1 2022 - 12:00 AM,1900,As new,,4,Isolated,,430,,,Hyper equipped,,5,22,22,18,18,4,4,6,,,,No,,1944,,,No,50,No,No,,,No,305,D,20180220008669,76 kg CO₂/m²,137440 kWh/year,Fuel oil,,,,,,,,,,No,Avenue de Mérode 16B,,4661423,,,,5,1944,,,,,Yes,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1330,Make,Depending on the tenant,,1918,Good,,3,Isolated,,130,22,Yes,Hyper equipped,11,3,29,11,10,,1,1,2,,,,No,Yes,115,,Not connected,Yes,15,No,No,,,No,237,C,20220329023805,44 kg CO₂/m²,28977 kWh/year,Gas,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,Avenue Fond Jean Rosy 17A,,4785362,Brabant Wallon,,,,,,,,,,,,No,,Yes,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1000,"€795,000",Depending on the tenant,,1963,Good,6 m,2,"Living area (residential, urban or rural)",,310,25,,Semi equipped,5,8,,,,,8,,8,,,,No,Yes,92,,Connected,Yes,,,,Yes,,,217,E,Not specified,Not specified,Not specified,Gas,Yes,No,,,,Non flood zone,"Living area (residential, urban or rural)",,,Yes,100,,Gary,,,,,15,,,,,,,,,,,80,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,Meyers-Hennau,,,,4235,Rue Chopin 10/1
46,1970,"€820,000",Depending on the tenant,,1954,Good,14.65 m,4,"Living area (residential, urban or rural)",,268,28,,Hyper equipped,7,5,12,12,10,18,3,3,2,Yes,,Yes,No,Yes,817,,,Yes,18,No,No,Yes,,No,273,C,2554358,Not specified,Not specified,Gas,Yes,Non flood zone,,,,,,,,Yes,Parvis Sainte-Alix 37,,4784122,Agency Surrounding,9,1,,500,,,,,,,,,,Yes,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
